rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,report_period,ann_date,known_at,available_at,factor_id,factor_name
20260331,600063,0.1613,0.1563,44.2662,1.6159,-0.98209,-0.98209,20260331,20260414,20260414,20260414,F06,FUNDAMENTAL_QUALITY
20260331,600064,0.3172,0.1014,46.8769,3.228,-0.97443,-0.97443,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600066,0.4093,1.5781,51.3262,4.1424,-0.78695,-0.78695,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600067,-0.0498,-0.1786,58.796,0.3674,-1.73456,-1.73456,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600071,-0.0552,0.0112,71.4517,0.3495,-2.20455,-2.20455,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600072,-0.2604,-1.0892,80.7252,2.5651,-2.66833,-2.66833,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600073,0.0999,-0.2251,58.6151,1.0573,-1.67566,-1.67566,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600075,-0.058,0.2273,55.7685,0.6433,-1.51473,-1.51473,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600076,-0.151,0.0258,45.2761,1.4471,-1.09106,-1.09106,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600078,0.162,0.0433,63.9957,1.6347,-1.79251,-1.79251,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600079,0.3026,0.1721,39.6841,3.0689,-0.68466,-0.68466,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600080,0.0258,-0.1445,18.8907,0.2479,-0.132,-0.132,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600081,0.0862,-0.2611,42.9092,0.8672,-1.06869,-1.06869,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600082,-0.0799,0.0244,33.7619,0.7976,-0.66697,-0.66697,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600084,0.0423,-0.005,14.0342,0.428,0.1038,0.1038,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600085,0.3349,0.6872,29.3435,3.3969,-0.14296,-0.14296,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600088,0.0063,-0.3933,17.915,0.054,-0.1576,-0.1576,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600089,0.2538,0.1044,56.5765,2.4026,-1.42317,-1.42317,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600094,0.0045,-0.0626,34.3637,0.0455,-0.75014,-0.75014,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600095,0.0198,0.7331,75.1606,0.1962,-2.21127,-2.21127,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600096,0.5469,1.3174,46.6672,5.6276,-0.53997,-0.53997,20260331,20260428,20260428,20260428,F06,FUNDAMENTAL_QUALITY
20260331,600097,-0.1604,-0.3962,31.4996,1.5384,-0.61926,-0.61926,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600098,0.1927,0.172,63.2771,1.9479,-1.71408,-1.71408,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600099,0.0755,-0.0182,56.411,0.7585,-1.56849,-1.56849,20260331,20260425,20260425,20260425,F06,FUNDAMENTAL_QUALITY
20260331,600100,-0.1056,-0.2277,58.222,1.148,-1.67496,-1.67496,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600101,0.2306,0.2159,25.9783,2.3349,-0.18382,-0.18382,20260331,20260429,20260429,20260429,F06,FUNDAMENTAL_QUALITY
20260331,600103,0.0389,0.028,28.9234,0.382,-0.48855,-0.48855,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600104,0.1014,2.7825,61.102,1.0098,-1.17675,-1.17675,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600105,0.4783,0.177,62.5586,4.8904,-1.45963,-1.45963,20260331,20260421,20260421,20260421,F06,FUNDAMENTAL_QUALITY
20260331,600106,0.05,0.0273,24.6399,0.4993,-0.30843,-0.30843,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
20260331,600107,0.0887,-0.0388,40.8685,0.926,-0.93845,-0.93845,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600108,0.0485,-0.0264,57.1643,0.4859,-1.62113,-1.62113,20260331,20260430,20260430,20260430,F06,FUNDAMENTAL_QUALITY
20260331,600109,0.1929,4.7066,78.7359,1.9343,-1.42656,-1.42656,20260331,20260424,20260424,20260424,F06,FUNDAMENTAL_QUALITY
20260331,600110,0.0717,0.1591,65.8546,0.7113,-1.91429,-1.91429,20260331,20260423,20260423,20260423,F06,FUNDAMENTAL_QUALITY
