rebalance_date,ticker,profitability_proxy,cashflow_proxy,leverage_proxy,stability_proxy,quality_score,factor_value,ann_date,known_at,available_at,factor_id
20260430,002572,1.2571,-0.2941,41.6372,-0.0752,-3.87549,-3.87549,20260430,20260430,20260430,F06
20260430,002573,0.97757,0.0248,71.3401,0.0273,-6.824859,-6.824859,20260430,20260430,20260430,F06
20260430,002574,1.26247,-0.1227,58.7438,0.0367,-5.505499,-5.505499,20260428,20260428,20260428,F06
20260430,002575,0.22043,0.0199,9.8849,-0.0016,-0.919021,-0.919021,20260428,20260428,20260428,F06
20260430,002576,2.46442,0.0777,35.8738,0.2508,-2.732194,-2.732194,20260428,20260428,20260428,F06
20260430,002577,1.04089,0.0075,12.482,0.0309,-0.922073,-0.922073,20260428,20260428,20260428,F06
20260430,002578,0.67523,0.1008,32.8252,0.0181,-3.052551,-3.052551,20260427,20260427,20260427,F06
20260430,002579,0.90403,0.2388,61.816,0.0165,-5.856031,-5.856031,20260428,20260428,20260428,F06
20260430,002580,2.38113,-0.3027,46.2167,0.2394,-3.872111,-3.872111,20260424,20260424,20260424,F06
20260430,002581,-0.96507,-0.0463,8.8895,-0.1424,-1.244691,-1.244691,20260429,20260429,20260429,F06
20260430,002582,15.22935,0.1511,31.9777,4.7603,3.305375,3.305375,20260429,20260429,20260429,F06
20260430,002583,-0.53524,-0.0298,78.8078,-0.0261,-8.057752,-8.057752,20260430,20260430,20260430,F06
20260430,002584,1.02869,-0.3918,57.1433,0.0358,-5.469763,-5.469763,20260429,20260429,20260429,F06
20260430,002585,1.48432,0.3873,34.403,0.0075,-2.914544,-2.914544,20260428,20260428,20260428,F06
20260430,002586,0.5008,-0.1456,45.2561,-0.0057,-4.40677,-4.40677,20260429,20260429,20260429,F06
20260430,002587,0.98933,-0.1236,29.9812,0.0393,-2.710321,-2.710321,20260427,20260427,20260427,F06
20260430,002588,3.67285,-0.3138,43.3443,0.5618,-3.070615,-3.070615,20260422,20260422,20260422,F06
20260430,002589,0.80639,0.0015,64.9785,0.0123,-6.250713,-6.250713,20260425,20260425,20260425,F06
20260430,002590,1.70749,0.3353,48.5683,0.1114,-4.232963,-4.232963,20260428,20260428,20260428,F06
20260430,002591,0.92074,0.0997,37.4274,0.0348,-3.432658,-3.432658,20260430,20260430,20260430,F06
20260430,002592,1.98096,0.1185,26.6665,0.1596,-1.984822,-1.984822,20260429,20260429,20260429,F06
20260430,002593,1.28213,0.3323,49.92,0.0702,-4.512821,-4.512821,20260428,20260428,20260428,F06
20260430,002594,6.04496,0.306,70.9426,0.8791,-4.867932,-4.867932,20260429,20260429,20260429,F06
20260430,002595,5.42535,0.1458,18.4067,1.2532,0.317375,0.317375,20260430,20260430,20260430,F06
20260430,002596,-0.21072,0.0005,84.0448,-0.0037,-8.469076,-8.469076,20260430,20260430,20260430,F06
20260430,002597,3.44404,-0.0484,25.8537,0.3286,-1.430398,-1.430398,20260430,20260430,20260430,F06
20260430,002598,1.47584,0.2426,52.3906,0.0992,-4.708108,-4.708108,20260429,20260429,20260429,F06
20260430,002599,0.14381,-0.0004,41.1583,-0.0248,-4.082687,-4.082687,20260430,20260430,20260430,F06
