ticker,rebalance_date,horizon,forward_return,label_available_at,label_role
601985,20251009,60D,,,OUTCOME_LABEL_ONLY
300014,20251009,5D,-0.072228,20251016,OUTCOME_LABEL_ONLY
300014,20251009,20D,-0.056608,20251106,OUTCOME_LABEL_ONLY
300014,20251009,60D,,,OUTCOME_LABEL_ONLY
600919,20251009,5D,0.105105,20251016,OUTCOME_LABEL_ONLY
600919,20251009,20D,0.111111,20251106,OUTCOME_LABEL_ONLY
600919,20251009,60D,,,OUTCOME_LABEL_ONLY
601995,20251009,5D,0.020533,20251016,OUTCOME_LABEL_ONLY
601995,20251009,20D,-0.027467,20251106,OUTCOME_LABEL_ONLY
601995,20251009,60D,,,OUTCOME_LABEL_ONLY
603501,20251009,5D,-0.115185,20251016,OUTCOME_LABEL_ONLY
603501,20251009,20D,-0.149447,20251106,OUTCOME_LABEL_ONLY
603501,20251009,60D,,,OUTCOME_LABEL_ONLY
603019,20251009,5D,-0.126502,20251016,OUTCOME_LABEL_ONLY
603019,20251009,20D,-0.070315,20251106,OUTCOME_LABEL_ONLY
603019,20251009,60D,,,OUTCOME_LABEL_ONLY
688008,20251009,5D,-0.07945,20251016,OUTCOME_LABEL_ONLY
688008,20251009,20D,-0.15769,20251106,OUTCOME_LABEL_ONLY
688008,20251009,60D,,,OUTCOME_LABEL_ONLY
300433,20251009,5D,-0.15589,20251016,OUTCOME_LABEL_ONLY
300433,20251009,20D,-0.076764,20251106,OUTCOME_LABEL_ONLY
300433,20251009,60D,,,OUTCOME_LABEL_ONLY
000776,20251009,5D,0.047003,20251016,OUTCOME_LABEL_ONLY
000776,20251009,20D,-0.001725,20251106,OUTCOME_LABEL_ONLY
000776,20251009,60D,,,OUTCOME_LABEL_ONLY
600887,20251009,5D,0.006515,20251016,OUTCOME_LABEL_ONLY
600887,20251009,20D,-0.014839,20251106,OUTCOME_LABEL_ONLY
600887,20251009,60D,,,OUTCOME_LABEL_ONLY
600050,20251009,5D,-0.014337,20251016,OUTCOME_LABEL_ONLY
600050,20251009,20D,-0.019713,20251106,OUTCOME_LABEL_ONLY
600050,20251009,60D,,,OUTCOME_LABEL_ONLY
600016,20251009,5D,0.027848,20251016,OUTCOME_LABEL_ONLY
600016,20251009,20D,0.020253,20251106,OUTCOME_LABEL_ONLY
600016,20251009,60D,,,OUTCOME_LABEL_ONLY
002142,20251009,5D,0.0466,20251016,OUTCOME_LABEL_ONLY
002142,20251009,20D,0.113827,20251106,OUTCOME_LABEL_ONLY
002142,20251009,60D,,,OUTCOME_LABEL_ONLY
600025,20251009,5D,0.044932,20251016,OUTCOME_LABEL_ONLY
600025,20251009,20D,0.029258,20251106,OUTCOME_LABEL_ONLY
600025,20251009,60D,,,OUTCOME_LABEL_ONLY
300999,20251009,5D,-0.012666,20251016,OUTCOME_LABEL_ONLY
300999,20251009,20D,-0.005066,20251106,OUTCOME_LABEL_ONLY
300999,20251009,60D,,,OUTCOME_LABEL_ONLY
601727,20251009,5D,-0.071291,20251016,OUTCOME_LABEL_ONLY
601727,20251009,20D,-0.057803,20251106,OUTCOME_LABEL_ONLY
601727,20251009,60D,,,OUTCOME_LABEL_ONLY
000725,20251009,5D,-0.046729,20251016,OUTCOME_LABEL_ONLY
000725,20251009,20D,-0.065421,20251106,OUTCOME_LABEL_ONLY
000725,20251009,60D,,,OUTCOME_LABEL_ONLY
002916,20251009,5D,-0.154427,20251016,OUTCOME_LABEL_ONLY
002916,20251009,20D,-0.032732,20251106,OUTCOME_LABEL_ONLY
002916,20251009,60D,,,OUTCOME_LABEL_ONLY
605499,20251009,5D,-0.011973,20251016,OUTCOME_LABEL_ONLY
605499,20251009,20D,-0.100395,20251106,OUTCOME_LABEL_ONLY
605499,20251009,60D,,,OUTCOME_LABEL_ONLY
600019,20251009,5D,-0.004178,20251016,OUTCOME_LABEL_ONLY
600019,20251009,20D,0.077994,20251106,OUTCOME_LABEL_ONLY
600019,20251009,60D,,,OUTCOME_LABEL_ONLY
