rebalance_date,ticker,outcome_20d_return,outcome_60d_return,label_known_after,role
20210831,000828,-0.038997,-0.056639,20211202,OUTCOME_LABEL_ONLY
20210831,000829,-0.247727,0.010909,20211202,OUTCOME_LABEL_ONLY
20210831,000830,-0.188256,-0.317789,20211202,OUTCOME_LABEL_ONLY
20210831,000831,-0.302448,-0.163636,20211202,OUTCOME_LABEL_ONLY
20210831,000833,-0.167568,-0.295135,20211202,OUTCOME_LABEL_ONLY
20210831,000837,-0.231302,-0.243075,20211202,OUTCOME_LABEL_ONLY
20210831,000838,-0.139053,0.257396,20211202,OUTCOME_LABEL_ONLY
20210831,000839,-0.152597,-0.233766,20211202,OUTCOME_LABEL_ONLY
20210831,000848,-0.157353,-0.252941,20211202,OUTCOME_LABEL_ONLY
20210831,000850,0.039683,0.126984,20211202,OUTCOME_LABEL_ONLY
20210831,000852,0.522244,0.363636,20211202,OUTCOME_LABEL_ONLY
20210831,000856,-0.065703,-0.091984,20211202,OUTCOME_LABEL_ONLY
20210831,000858,0.087758,0.104418,20211202,OUTCOME_LABEL_ONLY
20210831,000859,-0.104499,-0.063861,20211202,OUTCOME_LABEL_ONLY
20210831,000860,0.081726,0.091521,20211202,OUTCOME_LABEL_ONLY
20210831,000862,,0.086957,20211202,OUTCOME_LABEL_ONLY
20210831,000863,0.02623,-0.095082,20211202,OUTCOME_LABEL_ONLY
20210831,000868,-0.039702,-0.012407,20211202,OUTCOME_LABEL_ONLY
20210831,000869,0.047066,0.007092,20211202,OUTCOME_LABEL_ONLY
20210831,000875,,0.155906,20211202,OUTCOME_LABEL_ONLY
20210831,000876,0.349177,0.329982,20211202,OUTCOME_LABEL_ONLY
20210831,000877,-0.046102,-0.059661,20211202,OUTCOME_LABEL_ONLY
20210831,000878,-0.095597,-0.137107,20211202,OUTCOME_LABEL_ONLY
20210831,000880,0.182927,0.097561,20211202,OUTCOME_LABEL_ONLY
20210831,000881,0.095238,0.050866,20211202,OUTCOME_LABEL_ONLY
20210831,000882,0.005291,-0.037037,20211202,OUTCOME_LABEL_ONLY
20210831,000883,0.330377,0.022173,20211202,OUTCOME_LABEL_ONLY
20210831,000885,0.119667,0.108221,20211202,OUTCOME_LABEL_ONLY
20210831,000886,0.0,-0.07177,20211202,OUTCOME_LABEL_ONLY
20210831,000887,-0.178451,0.233446,20211202,OUTCOME_LABEL_ONLY
20210831,000888,-0.023292,-0.069876,20211202,OUTCOME_LABEL_ONLY
20210831,000889,-0.022581,0.025806,20211202,OUTCOME_LABEL_ONLY
20210831,000890,-0.090385,-0.057692,20211202,OUTCOME_LABEL_ONLY
20210831,000892,0.079848,0.1673,20211202,OUTCOME_LABEL_ONLY
20210831,000893,-0.147765,-0.075294,20211202,OUTCOME_LABEL_ONLY
20210831,000895,0.126556,0.246058,20211202,OUTCOME_LABEL_ONLY
20210831,000897,0.035897,0.246154,20211202,OUTCOME_LABEL_ONLY
20210831,000898,-0.15614,-0.338596,20211202,OUTCOME_LABEL_ONLY
20210831,000899,0.285714,0.032653,20211202,OUTCOME_LABEL_ONLY
20210831,000900,0.036058,-0.028846,20211202,OUTCOME_LABEL_ONLY
20210831,000901,-0.080851,-0.030851,20211202,OUTCOME_LABEL_ONLY
20210831,000902,-0.172897,-0.186916,20211202,OUTCOME_LABEL_ONLY
20210831,000903,-0.022039,-0.041322,20211202,OUTCOME_LABEL_ONLY
20210831,000905,-0.007496,0.094453,20211202,OUTCOME_LABEL_ONLY
20210831,000906,-0.013636,-0.031818,20211202,OUTCOME_LABEL_ONLY
20210831,000908,0.014925,-0.054726,20211202,OUTCOME_LABEL_ONLY
20210831,000909,-0.044863,0.085384,20211202,OUTCOME_LABEL_ONLY
20210831,000910,-0.093272,-0.074159,20211202,OUTCOME_LABEL_ONLY
20210831,000911,-0.15103,-0.142639,20211202,OUTCOME_LABEL_ONLY
