ticker,name,sector,industry,sector_code,theme,market,list_date,source_file
300415,伊之密,专用机械,专用机械,专用机械,,,20150123,data/tushare/stock_basic.csv
300530,领湃科技,电气设备,电气设备,电气设备,,,20160809,data/tushare/stock_basic.csv
300417,南华仪器,电器仪表,电器仪表,电器仪表,,,20150123,data/tushare/stock_basic.csv
300452,山河药辅,化学制药,化学制药,化学制药,,,20150515,data/tushare/stock_basic.csv
603369,今世缘,白酒,白酒,白酒,,,20140703,data/tushare/stock_basic.csv
603011,合锻智能,专用机械,专用机械,专用机械,,,20141107,data/tushare/stock_basic.csv
603698,航天工程,专用机械,专用机械,专用机械,,,20150128,data/tushare/stock_basic.csv
601021,春秋航空,空运,空运,空运,,,20150121,data/tushare/stock_basic.csv
603726,朗迪集团,家用电器,家用电器,家用电器,,,20160421,data/tushare/stock_basic.csv
603320,迪贝电气,电气设备,电气设备,电气设备,,,20170502,data/tushare/stock_basic.csv
603013,亚普股份,汽车配件,汽车配件,汽车配件,,,20180509,data/tushare/stock_basic.csv
002768,国恩股份,塑料,塑料,塑料,,,20150630,data/tushare/stock_basic.csv
603015,弘讯科技,电气设备,电气设备,电气设备,,,20150303,data/tushare/stock_basic.csv
603606,东方电缆,电气设备,电气设备,电气设备,,,20141015,data/tushare/stock_basic.csv
